id,tweet,label
1,iyi partili türkkan 1.5 milyon suriyeli daha gelecek!,hiçbiri
2,"başkan erdoğan'dan suriyeli mülteci mesajı! ""ya destek verin ya da kapıları açarız""",hiçbiri
3,"arslan bulut yazdı ""300 metrekarelik konaklar yaptıralım suriyelilere…"" akp iktidarı istanbul'un ve güneydoğu şehirlerinin demografik yapısını değiştirdi! suriyeli çalıştıranlara teşvik bile veriyorlar! türk çalıştırırsan teşvik yok!",nefret
4,güzel bir amaçla yola çıkmış ama insan askerini polisini bu denli kötüler mi? özellikle doğuda ve sınırda ne şartlar altında çalışıyor bu insanlar biraz insaf edin. bir de faşizmi eleştirip savaştan kaçıp gelen suriyeli insanlara gönderme yapmışlar. kusura bakmayın ama bu kaypakça,hiçbiri
5,kimin parası bu türk halkının parası peki bizim bu kadar suriyeli baktığımız yetmediği gibi bir de bahçeli ev mi yapacağız? türkiye tapusunu da verelim mi suriyelilere... hani şu yakaladığında arkadan vuran suriyelilere... besle kargayı oysun gözünü yapan suriyelilere...,nefret
6,galatasaraylı taraftarlara suriyeli diyenler dönüp önce kendine baksın!...,nefret
7,açlıktan nefesimiz kokuyor tavuk dürüm yemekten gına geldi başkan çıkmış suriyeli vatan hainlerine 150 m2 bahçeli ev yapalım diyor asgari ücret 2020 tl başkan halk perişan ağalık yapma zamanı mı şimdi.,nefret
8,diyarbakırlı analar eksik suriyeli çocuklar eksik o eksik bu eksik onu da sen yap bişeyler de sen doldur kardeşim.,hiçbiri
9,bu makalede türkiye'deki suriyeli kadın ve çocukların sorunları 5 ana başlık altında ele alınmaktadır. bunlar 1 dil ve eğitim 2 çocuk işçiliği 3 çocuk gelin 4 insan ticareti fuhuş ve cinsel kölelik 5 uyuşturucu.,hiçbiri
10,park caddesi sağlık ocağı taraflarında mobese falan var mı 2 suriyeli piç pezevenk bir bayanın arkasından şahit olmak istemediğim bir hareket yaptılar kız arkası dönük olduğu için farketmedi bense suratlarına dik dik bakabildim sadece onlarsa pişkin pişkin sırıtıp gittiler,nefret
11,300 m2 evin şu anki arsa bedelsiz maliyeti en az 450 bin tl. 150 m2 bahçe düzeni en az 30 bin tl. yaklaşık 480 bin tl sadece bir suriyeli aileye bahşedilecek sanırsam?,nefret
12,içişleri bakanı süleyman soylu ekonominin çöküşü pahalılık zamlar vs de görev ihlali mi oluyor acaba vatandaş olarak ağzımıza sıçtınız. ölelim mi yandaşlar onun bunun adamları rahat yaşarken biz geberelim mi suriyeli kadar değerim yok bu ülkede,nefret
13,bir suriyeli tarafından taciz edilmediğim kalmıştı o da oldu kendi ülkemde mültecilerden çekiniyorum amk,nefret
14,ben hiç suriyeli çiftçi duymadım. ekip biçmek özveri ister çalışmak ister papatya ekmiyoruz. suriyeliler öğleden sonra uyanır sabah 5'te yatarlar. kim çiftçilik yapacak da ekip biçecek,nefret
15,gençlik merkezimizde türkçe eğitimini tamamlayan suriyeli kardeşlerimize sertifika töreninde dondurma ikramında bulunduk.,hiçbiri
16,o zaman niye suriyeli çalıştırana teşvik ve mülteci entegrasyonu için okul yapıyorsunuz. gönderin gitsin tiksindik artık görmek istemiyoruz suriyeli mülteci,nefret
17,bu kadar işsizlik varken 1 suriyeli 1 türk kampanyası nedir ya şaka mı?! yeni kampanya istiyoruz 1 türk 1 yeni mezun türk #1suriyeli,nefret
18,#hatırladınız mı? suriyeli 9 aylık hamile emani'yi yanında da 10 aylık bebeği ile birlikte tecavüz edip öldürülmüştüler eşinin giderken dediklerini hatırladınız mı? sakın kimseye tecavüz demeyin kaza diyin ailem türkiye'ye düşman olmasın.,hiçbiri
19,suriyeli işçi çalıştırana 11 bin 400 tl destek verilecek!,hiçbiri
20,belki sığınmak zorunda kalmış hakkıyla yaşamaya çalışıyor. belki ülkeye senden daha çok faydası var. belki suriyeli bile değil başka ülkeden gelmiş yerleşmek veya gezmek için. ne biliyorsunuz da kötü davranıyorsunuz? niye bu kadar hırs ve kin dolusunuz?,hiçbiri
21,böylece 1 suriyelinin yüzü gözü hürmetine bir türk iş sahibi olur. allah razı olsun suriyeli kardeşlerimizden. sayelerinde işsizlikle mücadele eden insanlar iş sahibi olacak,nefret
22,suriyeli kadın ile,hiçbiri
